iter	Passed	Remaining
662	5529	2810
663	5537	2802
664	5543	2792
665	5548	2782
666	5557	2774
667	5561	2764
668	5568	2755
669	5576	2746
670	5581	2736
671	5587	2727
672	5592	2717
673	5600	2708
674	5605	2699
675	5614	2690
676	5621	2681
677	5631	2674
678	5636	2664
679	5641	2654
680	5651	2647
681	5657	2637
682	5664	2629
683	5669	2619
684	5678	2611
685	5683	2601
686	5688	2591
687	5694	2582
688	5699	2572
689	5705	2563
690	5710	2553
691	5715	2543
692	5721	2534
693	5726	2524
694	5731	2515
695	5736	2505
696	5742	2496
697	5747	2486
698	5752	2477
699	5758	2467
700	5763	2458
701	5768	2448
702	5774	2439
703	5786	2432
704	5794	2424
705	5803	2416
706	5809	2407
707	5814	2397
708	5820	2389
709	5826	2379
710	5830	2370
711	5847	2365
712	5859	2358
713	5873	2352
714	5884	2345
715	5900	2340
716	5911	2333
717	5934	2330
718	5955	2327
719	5963	2319
720	6007	2324
721	6024	2319
722	6042	2315
723	6053	2307
724	6067	2301
725	6074	2292
726	6082	2283
727	6088	2274
728	6103	2268
729	6113	2261
730	6131	2256
731	6141	2248
732	6190	2255
733	6196	2245
734	6252	2254
735	6258	2245
736	6265	2235
737	6271	2226
738	6277	2216
739	6324	2222
740	6335	2214
741	6341	2205
742	6352	2197
743	6358	2188
744	6386	2186
745	6393	2176
746	6424	2176
747	6432	2167
748	6438	2157
749	6455	2151
750	6470	2145
751	6482	2137
752	6492	2129
753	6510	2124
754	6520	2115
755	6532	2108
756	6538	2098
757	6547	2090
758	6554	2081
759	6563	2072
760	6568	2062
761	6573	2053
762	6580	2044
763	6585	2034
764	6590	2024
765	6598	2015
766	6603	2006
767	6612	1997
768	6622	1989
769	6633	1981
770	6644	1973
771	6649	1963
772	6662	1956
773	6671	1948
774	6687	1941
775	6702	1934
776	6728	1930
777	6748	1925
778	6766	1919
779	6775	1910
780	6785	1902
781	6798	1895
782	6808	1886
783	6815	1877
784	6828	1870
785	6841	1862
786	6848	1853
787	6856	1844
788	6861	1834
789	6866	1825
790	6876	1816
791	6881	1807
792	6889	1798
793	6894	1788
794	6900	1779
795	6905	1769
796	6910	1760
797	6917	1751
798	6923	1741
799	6931	1732
800	6952	1727
801	6962	1719
802	6976	1711
803	6987	1703
804	6992	1693
805	7004	1685
806	7011	1676
807	7019	1667
808	7026	1658
809	7034	1650
810	7041	1640
811	7054	1633
812	7065	1625
813	7071	1615
814	7081	1607
815	7086	1597
816	7096	1589
817	7102	1580
818	7108	1571
819	7114	1561
820	7118	1552
821	7125	1543
822	7130	1533
823	7135	1524
824	7139	1514
825	7145	1505
826	7150	1495
827	7160	1487
828	7165	1478
829	7173	1469
830	7179	1460
831	7184	1450
832	7191	1441
833	7198	1432
834	7205	1423
835	7211	1414
836	7216	1405
837	7225	1396
838	7233	1388
839	7240	1379
840	7246	1369
841	7255	1361
842	7262	1352
843	7269	1343
844	7275	1334
845	7281	1325
846	7290	1316
847	7296	1307
848	7303	1298
849	7308	1289
850	7319	1281
851	7326	1272
852	7335	1264
853	7342	1255
854	7350	1246
855	7356	1237
856	7366	1229
